Country,Region,Year,Ski Areas,Lifts,National Skiers,Rate of Ski Areas change,Rate of Lifts change,Rate of  National Skiers change
Estonia,Eastern Europe and Central Asia,2016,9,17,63319,0.00%,0.00%,0.00%
Georgia,Eastern Europe and Central Asia,2016,8,23,91000,60.00%,64.29%,-0.13%
Greece,Eastern Europe and Central Asia,2016,22,111,215459,0.00%,0.00%,0.00%
Hungary,Eastern Europe and Central Asia,2016,15,55,546671,0.00%,0.00%,10.00%
Kazakhstan,Eastern Europe and Central Asia,2016,19,25,266053,0.00%,0.00%,0.00%
Kosovo,Eastern Europe and Central Asia,2016,3,12,55431,,,
Kyrgyzstan,Eastern Europe and Central Asia,2016,16,24,55480,0.00%,0.00%,0.00%
Latvia,Eastern Europe and Central Asia,2016,26,77,217844,0.00%,0.00%,0.00%
Lithuania,Eastern Europe and Central Asia,2016,11,19,175793,0.00%,0.00%,0.00%
Macedonia,Eastern Europe and Central Asia,2016,8,34,156538,0.00%,0.00%,0.00%
Montenegro,Eastern Europe and Central Asia,2016,4,23,65347,0.00%,0.00%,0.00%
Poland,Eastern Europe and Central Asia,2016,182,832,4989895,0.00%,0.00%,0.00%
Romania,Eastern Europe and Central Asia,2016,45,141,653714,0.00%,0.00%,0.00%
Russia,Eastern Europe and Central Asia,2016,321,600,3562512,0.00%,0.00%,0.00%
Serbia,Eastern Europe and Central Asia,2016,31,77,217290,0.00%,0.00%,0.00%
Slovakia,Eastern Europe and Central Asia,2016,107,456,987901,0.00%,0.00%,0.00%
Ukraine,Eastern Europe and Central Asia,2016,54,141,1114330,0.00%,0.00%,0.00%
Uzbekistan,Eastern Europe and Central Asia,2016,2,8,57323,0.00%,33.33%,
Argentina,Americas,2016,22,145,1065275,0.00%,0.00%,0.00%
Canada,Americas,2016,288,922,4307199,0.00%,0.00%,0.00%
Chile,Americas,2016,21,122,516508,0.00%,0.00%,0.00%
United States,Americas,2016,470,2970,25016817,0.00%,0.00%,0.00%
Australia,Asian-Pacific,2016,10,158,1002000,0.00%,0.00%,28.60%
China,Asian-Pacific,2016,568,565,6748000,62.29%,-34.98%,31.58%
India,Asian-Pacific,2016,15,22,122080,,,
Japan,Asian-Pacific,2016,547,2422,11452777,0.00%,0.00%,0.00%
Nepal,Asian-Pacific,2016,,,,,,
New Zealand,Asian-Pacific,2016,25,100,305558,0.00%,0.00%,0.00%
South Korea,Asian-Pacific,2016,18,150,2937312,0.00%,0.00%,0.00%
Iran,Middle East & Africa,2016,19,51,798539,0.00%,0.00%,0.00%
Lebanon,Middle East & Africa,2016,6,46,206579,0.00%,0.00%,0.00%
Morocco,Middle East & Africa,2016,5,10,32649,0.00%,0.00%,0.00%
Turkey,Middle East & Africa,2016,43,153,806945,0.00%,5.52%,0.00%
Austria,Alps,2017,254,3028,2960000,0.00%,0.00%,0.01%
France,Alps,2017,325,3346,8547000,0.00%,0.00%,-0.31%
Italy,Alps,2017,349,2127,4919000,0.00%,0.00%,0.01%
Liechtenstein,Alps,2017,1,5,14000,0.00%,0.00%,2.24%
Slovenia,Alps,2017,44,217,299000,0.00%,0.00%,0.03%
Switzerland,Alps,2017,193,1691,2959000,-0.52%,0.00%,0.02%
Andorra,Western Europe,2017,3,140,17000,0.00%,0.00%,-0.35%
Belgium,Western Europe,2017,7,11,1253000,0.00%,0.00%,-0.02%
Denmark,Western Europe,2017,5,6,667000,0.00%,0.00%,0.03%
Finland,Western Europe,2017,76,374,1264000,0.00%,0.00%,0.01%
Germany,Western Europe,2017,498,1827,14607000,0.00%,0.00%,0.00%
Iceland,Western Europe,2017,13,49,63000,0.00%,0.00%,-0.09%
Norway,Western Europe,2017,213,655,1181000,0.00%,0.00%,0.03%
Portugal,Western Europe,2017,1,29,216000,0.00%,0.00%,0.01%
Spain,Western Europe,2017,32,384,2369000,0.00%,0.00%,0.02%
Sweden,Western Europe,2017,228,820,1824000,0.00%,0.00%,0.00%
United Kingdom,Western Europe,2017,10,124,6340000,0.00%,0.00%,0.01%
Albania,Eastern Europe and Central Asia,2017,10,1,30000,0.00%,0.00%,-0.38%
Armenia,Eastern Europe and Central Asia,2017,3,8,59000,0.00%,0.00%,-0.81%
Azerbaijan,Eastern Europe and Central Asia,2017,2,11,72000,0.00%,0.00%,50.15%
Belarus,Eastern Europe and Central Asia,2017,6,11,193000,0.00%,0.00%,0.25%
Bosnia and Herzegovina,Eastern Europe and Central Asia,2017,18,50,194000,0.00%,0.00%,0.11%
Bulgaria,Eastern Europe and Central Asia,2017,32,110,349000,0.00%,0.00%,-0.02%
Croatia,Eastern Europe and Central Asia,2017,13,25,90000,0.00%,0.00%,0.55%
Czech Republic,Eastern Europe and Central Asia,2017,176,816,2236000,0.00%,0.00%,0.01%
Estonia,Eastern Europe and Central Asia,2017,9,17,63000,0.00%,0.00%,-0.50%
Georgia,Eastern Europe and Central Asia,2017,8,23,114000,0.00%,0.00%,25.27%
Greece,Eastern Europe and Central Asia,2017,22,111,215000,0.00%,0.00%,-0.21%
Hungary,Eastern Europe and Central Asia,2017,15,55,547000,0.00%,0.00%,0.06%
Kazakhstan,Eastern Europe and Central Asia,2017,19,25,266000,0.00%,0.00%,-0.02%
Kosovo,Eastern Europe and Central Asia,2017,3,12,55000,0.00%,0.00%,-0.78%
Kyrgyzstan,Eastern Europe and Central Asia,2017,16,24,55000,0.00%,0.00%,-0.87%
Latvia,Eastern Europe and Central Asia,2017,26,77,218000,0.00%,0.00%,0.07%
Lithuania,Eastern Europe and Central Asia,2017,11,19,176000,0.00%,0.00%,0.12%
Macedonia,Eastern Europe and Central Asia,2017,8,34,157000,0.00%,0.00%,0.30%
Montenegro,Eastern Europe and Central Asia,2017,4,23,65000,0.00%,0.00%,-0.53%
Poland,Eastern Europe and Central Asia,2017,182,832,4990000,0.00%,0.00%,0.00%
Romania,Eastern Europe and Central Asia,2017,45,141,654000,0.00%,0.00%,0.04%
Russia,Eastern Europe and Central Asia,2017,354,611,4275000,10.28%,1.83%,20.00%
Serbia,Eastern Europe and Central Asia,2017,31,77,217000,0.00%,0.00%,-0.13%
Slovakia,Eastern Europe and Central Asia,2017,107,456,988000,0.00%,0.00%,0.01%
Ukraine,Eastern Europe and Central Asia,2017,54,141,1114000,0.00%,0.00%,-0.03%
Uzbekistan,Eastern Europe and Central Asia,2017,2,8,57000,0.00%,0.00%,-0.56%
Argentina,Americas,2017,22,145,1065000,0.00%,0.00%,-0.03%
Canada,Americas,2017,288,922,4307000,0.00%,0.00%,0.00%
Chile,Americas,2017,21,122,517000,0.00%,0.00%,0.10%
United States,Americas,2017,463,2970,25017000,-1.49%,0.00%,0.00%
Australia,Asian-Pacific,2017,12,158,1002000,20.00%,0.00%,0.00%
China,Asian-Pacific,2017,646,593,11330000,13.73%,4.96%,67.90%
India,Asian-Pacific,2017,15,22,122000,0.00%,0.00%,-0.07%
Japan,Asian-Pacific,2017,547,2422,11453000,0.00%,0.00%,0.00%
Nepal,Asian-Pacific,2017,,,,,,
New Zealand,Asian-Pacific,2017,23,107,306000,-8.00%,7.00%,0.14%
South Korea,Asian-Pacific,2017,18,150,2937000,0.00%,0.00%,-0.01%
Iran,Middle East & Africa,2017,19,51,799000,0.00%,0.00%,0.06%
Lebanon,Middle East & Africa,2017,6,46,207000,0.00%,0.00%,0.20%
Morocco,Middle East & Africa,2017,5,10,33000,0.00%,0.00%,1.08%
Turkey,Middle East & Africa,2017,43,153,807000,0.00%,0.00%,0.01%
Austria,Alps,2018,254,3028,2960000,0.00%,0.00%,0.00%
France,Alps,2018,325,3346,8547000,0.00%,0.00%,0.00%
Italy,Alps,2018,349,2127,4919000,0.00%,0.00%,0.00%
Liechtenstein,Alps,2018,1,5,14000,0.00%,0.00%,0.00%
Slovenia,Alps,2018,44,217,299000,0.00%,0.00%,0.00%
Switzerland,Alps,2018,193,1446,2959000,0.00%,-14.49%,0.00%
Andorra,Western Europe,2018,3,140,17000,0.00%,0.00%,0.00%
Belgium,Western Europe,2018,7,11,1253000,0.00%,0.00%,0.00%
Denmark,Western Europe,2018,5,6,667000,0.00%,0.00%,0.00%
Finland,Western Europe,2018,76,374,1264000,0.00%,0.00%,0.00%
Germany,Western Europe,2018,498,1827,14607000,0.00%,0.00%,0.00%
Iceland,Western Europe,2018,13,49,63000,0.00%,0.00%,0.00%
Norway,Western Europe,2018,213,655,1181000,0.00%,0.00%,0.00%
Portugal,Western Europe,2018,1,29,216000,0.00%,0.00%,0.00%
Spain,Western Europe,2018,32,384,2369000,0.00%,0.00%,0.00%
Sweden,Western Europe,2018,228,840,1824000,0.00%,2.44%,0.00%
United Kingdom,Western Europe,2018,10,124,6340000,0.00%,0.00%,0.00%
Albania,Eastern Europe and Central Asia,2018,10,1,30000,0.00%,0.00%,0.00%
Armenia,Eastern Europe and Central Asia,2018,3,8,59000,0.00%,0.00%,0.00%
Azerbaijan,Eastern Europe and Central Asia,2018,2,11,72000,0.00%,0.00%,0.00%
Belarus,Eastern Europe and Central Asia,2018,6,11,193000,0.00%,0.00%,0.00%
Bosnia and Herzegovina,Eastern Europe and Central Asia,2018,18,50,194000,0.00%,0.00%,0.00%
Bulgaria,Eastern Europe and Central Asia,2018,32,110,349000,0.00%,0.00%,0.00%
Croatia,Eastern Europe and Central Asia,2018,13,25,90000,0.00%,0.00%,0.00%
Czech Republic,Eastern Europe and Central Asia,2018,191,765,2236000,8.52%,-6.25%,0.00%
Estonia,Eastern Europe and Central Asia,2018,9,17,63000,0.00%,0.00%,0.00%
Georgia,Eastern Europe and Central Asia,2018,8,28,114000,0.00%,21.74%,0.00%
Greece,Eastern Europe and Central Asia,2018,22,111,215000,0.00%,0.00%,0.00%
Hungary,Eastern Europe and Central Asia,2018,15,55,547000,0.00%,0.00%,0.00%
Kazakhstan,Eastern Europe and Central Asia,2018,19,25,266000,0.00%,0.00%,0.00%
Kosovo,Eastern Europe and Central Asia,2018,3,12,55000,0.00%,0.00%,0.00%
Kyrgyzstan,Eastern Europe and Central Asia,2018,19,29,55000,18.75%,20.83%,0.00%
Latvia,Eastern Europe and Central Asia,2018,26,77,218000,0.00%,0.00%,0.00%
Lithuania,Eastern Europe and Central Asia,2018,11,19,176000,0.00%,0.00%,0.00%
Macedonia,Eastern Europe and Central Asia,2018,8,34,157000,0.00%,0.00%,0.00%
Montenegro,Eastern Europe and Central Asia,2018,4,23,65000,0.00%,0.00%,0.00%
Poland,Eastern Europe and Central Asia,2018,182,832,4990000,0.00%,0.00%,0.00%
Romania,Eastern Europe and Central Asia,2018,45,141,654000,0.00%,0.00%,0.00%
Russia,Eastern Europe and Central Asia,2018,354,611,4275000,0.00%,0.00%,0.00%
Serbia,Eastern Europe and Central Asia,2018,31,77,217000,0.00%,0.00%,0.00%
Slovakia,Eastern Europe and Central Asia,2018,107,456,988000,0.00%,0.00%,0.00%
Ukraine,Eastern Europe and Central Asia,2018,54,141,1114000,0.00%,0.00%,0.00%
Uzbekistan,Eastern Europe and Central Asia,2018,2,8,57000,0.00%,0.00%,0.00%
Argentina,Americas,2018,22,145,1065000,0.00%,0.00%,0.00%
Canada,Americas,2018,280,922,4307000,-2.78%,0.00%,0.00%
Chile,Americas,2018,21,127,517000,0.00%,4.10%,0.00%
United States,Americas,2018,481,2970,25017000,3.89%,0.00%,0.00%
Australia,Asian-Pacific,2018,12,158,1002000,0.00%,0.00%,0.00%
China,Asian-Pacific,2018,703,630,12100000,8.82%,6.24%,6.80%
India,Asian-Pacific,2018,15,22,122000,0.00%,0.00%,0.00%
Japan,Asian-Pacific,2018,547,2422,11453000,0.00%,0.00%,0.00%
Nepal,Asian-Pacific,2018,,,,,,
New Zealand,Asian-Pacific,2018,23,107,306000,0.00%,0.00%,0.00%
South Korea,Asian-Pacific,2018,18,150,2937000,0.00%,0.00%,0.00%
Iran,Middle East & Africa,2018,22,72,799000,15.79%,41.18%,0.00%
Lebanon,Middle East & Africa,2018,6,46,207000,0.00%,0.00%,0.00%
Morocco,Middle East & Africa,2018,5,10,33000,0.00%,0.00%,0.00%
Turkey,Middle East & Africa,2018,60,159,807000,39.53%,3.92%,0.00%
Austria,Alps,2019,254,3028,2960000,0.00%,0.00%,0.00%
France,Alps,2019,325,3346,8547000,0.00%,0.00%,0.00%
Italy,Alps,2019,349,2127,4844000,0.00%,0.00%,-1.52%
Liechtenstein,Alps,2019,1,5,14000,0.00%,0.00%,0.00%
Slovenia,Alps,2019,44,217,299000,0.00%,0.00%,0.00%
Switzerland,Alps,2019,186,1446,2959000,-3.63%,0.00%,0.00%
Andorra,Western Europe,2019,3,140,15000,0.00%,0.00%,-11.76%
Belgium,Western Europe,2019,7,11,1253000,0.00%,0.00%,0.00%
Denmark,Western Europe,2019,5,6,667000,0.00%,0.00%,0.00%
Finland,Western Europe,2019,76,374,1264000,0.00%,0.00%,0.00%
Germany,Western Europe,2019,498,1554,14607000,0.00%,-14.94%,0.00%
Iceland,Western Europe,2019,13,49,63000,0.00%,0.00%,0.00%
Norway,Western Europe,2019,213,655,1181000,0.00%,0.00%,0.00%
Portugal,Western Europe,2019,1,29,206000,0.00%,0.00%,-4.63%
Spain,Western Europe,2019,32,384,2329000,0.00%,0.00%,-1.69%
Sweden,Western Europe,2019,228,840,1824000,0.00%,0.00%,0.00%
United Kingdom,Western Europe,2019,10,124,6340000,0.00%,0.00%,0.00%
Albania,Eastern Europe and Central Asia,2019,10,1,29000,0.00%,0.00%,-3.33%
Armenia,Eastern Europe and Central Asia,2019,3,8,59000,0.00%,0.00%,0.00%
Azerbaijan,Eastern Europe and Central Asia,2019,2,11,72000,0.00%,0.00%,0.00%
Belarus,Eastern Europe and Central Asia,2019,6,11,190000,0.00%,0.00%,-1.55%
Bosnia and Herzegovina,Eastern Europe and Central Asia,2019,18,50,175000,0.00%,0.00%,-9.79%
Bulgaria,Eastern Europe and Central Asia,2019,32,110,349000,0.00%,0.00%,0.00%
Croatia,Eastern Europe and Central Asia,2019,13,25,227000,0.00%,0.00%,152.22%
Czech Republic,Eastern Europe and Central Asia,2019,191,765,2236000,0.00%,0.00%,0.00%
Estonia,Eastern Europe and Central Asia,2019,9,17,63000,0.00%,0.00%,0.00%
Georgia,Eastern Europe and Central Asia,2019,8,28,93000,0.00%,0.00%,-18.42%
Greece,Eastern Europe and Central Asia,2019,22,111,215000,0.00%,0.00%,0.00%
Hungary,Eastern Europe and Central Asia,2019,15,55,587000,0.00%,0.00%,7.31%
Kazakhstan,Eastern Europe and Central Asia,2019,19,25,266000,0.00%,0.00%,0.00%
Kosovo,Eastern Europe and Central Asia,2019,3,12,55000,0.00%,0.00%,0.00%
Kyrgyzstan,Eastern Europe and Central Asia,2019,19,29,55000,0.00%,0.00%,0.00%
Latvia,Eastern Europe and Central Asia,2019,26,77,194000,0.00%,0.00%,-11.01%
Lithuania,Eastern Europe and Central Asia,2019,11,19,141000,0.00%,0.00%,-19.89%
Macedonia,Eastern Europe and Central Asia,2019,8,34,156000,0.00%,0.00%,-0.64%
Montenegro,Eastern Europe and Central Asia,2019,4,23,62000,0.00%,0.00%,-4.62%
Poland,Eastern Europe and Central Asia,2019,182,832,4937000,0.00%,0.00%,-1.06%
Romania,Eastern Europe and Central Asia,2019,45,141,588000,0.00%,0.00%,-10.09%
Russia,Eastern Europe and Central Asia,2019,354,611,4275000,0.00%,0.00%,0.00%
Serbia,Eastern Europe and Central Asia,2019,31,77,211000,0.00%,0.00%,-2.76%
Slovakia,Eastern Europe and Central Asia,2019,107,456,979000,0.00%,0.00%,-0.91%
Ukraine,Eastern Europe and Central Asia,2019,54,141,1114000,0.00%,0.00%,0.00%
Uzbekistan,Eastern Europe and Central Asia,2019,2,8,57000,0.00%,0.00%,0.00%
Argentina,Americas,2019,22,145,1065000,0.00%,0.00%,0.00%
Canada,Americas,2019,280,922,4307000,0.00%,0.00%,0.00%
Chile,Americas,2019,21,127,517000,0.00%,0.00%,0.00%
United States,Americas,2019,481,2970,25017000,0.00%,0.00%,0.00%
Australia,Asian-Pacific,2019,12,158,1002000,0.00%,0.00%,0.00%
China,Asian-Pacific,2019,743,644,13200000,5.69%,2.22%,9.09%
India,Asian-Pacific,2019,15,22,134000,0.00%,0.00%,9.84%
Japan,Asian-Pacific,2019,547,2422,11411000,0.00%,0.00%,-0.37%
Nepal,Asian-Pacific,2019,,,,,,
New Zealand,Asian-Pacific,2019,23,107,306000,0.00%,0.00%,0.00%
South Korea,Asian-Pacific,2019,18,150,2937000,0.00%,0.00%,0.00%
Iran,Middle East & Africa,2019,22,72,812000,0.00%,0.00%,1.63%
Lebanon,Middle East & Africa,2019,6,46,207000,0.00%,0.00%,0.00%
Morocco,Middle East & Africa,2019,5,10,33000,0.00%,0.00%,0.00%
Turkey,Middle East & Africa,2019,60,159,807000,0.00%,0.00%,0.00%
Austria,Alps,2020,253,2930,2960000,-0.39%,-3.24%,0.00%
France,Alps,2020,317,3117,8574000,-2.46%,-6.84%,0.32%
Italy,Alps,2020,349,2127,7266000,0.00%,0.00%,50.00%
Liechtenstein,Alps,2020,1,5,14000,0.00%,0.00%,0.00%
Slovenia,Alps,2020,44,217,299000,0.00%,0.00%,0.00%
Switzerland,Alps,2020,186,1446,2959000,0.00%,0.00%,0.00%
Andorra,Western Europe,2020,3,140,15000,0.00%,0.00%,0.00%
Belgium,Western Europe,2020,7,11,1253000,0.00%,0.00%,0.00%
Denmark,Western Europe,2020,5,6,667000,0.00%,0.00%,0.00%
Finland,Western Europe,2020,76,374,1264000,0.00%,0.00%,0.00%
Germany,Western Europe,2020,498,1554,14607000,0.00%,0.00%,0.00%
Iceland,Western Europe,2020,13,49,63000,0.00%,0.00%,0.00%
Norway,Western Europe,2020,213,655,1181000,0.00%,0.00%,0.00%
Portugal,Western Europe,2020,1,29,206000,0.00%,0.00%,0.00%
Spain,Western Europe,2020,32,384,2329000,0.00%,0.00%,0.00%
Sweden,Western Europe,2020,228,840,1824000,0.00%,0.00%,0.00%
United Kingdom,Western Europe,2020,10,124,6340000,0.00%,0.00%,0.00%
Albania,Eastern Europe and Central Asia,2020,10,1,29000,0.00%,0.00%,0.00%
Armenia,Eastern Europe and Central Asia,2020,3,8,59000,0.00%,0.00%,0.00%
Azerbaijan,Eastern Europe and Central Asia,2020,2,11,72000,0.00%,0.00%,0.00%
Belarus,Eastern Europe and Central Asia,2020,6,11,190000,0.00%,0.00%,0.00%
Bosnia and Herzegovina,Eastern Europe and Central Asia,2020,18,50,175000,0.00%,0.00%,0.00%
Bulgaria,Eastern Europe and Central Asia,2020,32,110,349000,0.00%,0.00%,0.00%
Croatia,Eastern Europe and Central Asia,2020,13,25,227000,0.00%,0.00%,0.00%
Czech Republic,Eastern Europe and Central Asia,2020,191,765,2236000,0.00%,0.00%,0.00%
Estonia,Eastern Europe and Central Asia,2020,9,17,63000,0.00%,0.00%,0.00%
Georgia,Eastern Europe and Central Asia,2020,8,28,93000,0.00%,0.00%,0.00%
Greece,Eastern Europe and Central Asia,2020,22,111,215000,0.00%,0.00%,0.00%
Hungary,Eastern Europe and Central Asia,2020,15,55,587000,0.00%,0.00%,0.00%
Kazakhstan,Eastern Europe and Central Asia,2020,19,25,266000,0.00%,0.00%,0.00%
Kosovo,Eastern Europe and Central Asia,2020,3,12,55000,0.00%,0.00%,0.00%
Kyrgyzstan,Eastern Europe and Central Asia,2020,19,29,55000,0.00%,0.00%,0.00%
Latvia,Eastern Europe and Central Asia,2020,26,77,194000,0.00%,0.00%,0.00%
Lithuania,Eastern Europe and Central Asia,2020,11,19,141000,0.00%,0.00%,0.00%
Macedonia,Eastern Europe and Central Asia,2020,8,34,156000,0.00%,0.00%,0.00%
Montenegro,Eastern Europe and Central Asia,2020,4,23,62000,0.00%,0.00%,0.00%
Poland,Eastern Europe and Central Asia,2020,182,832,4937000,0.00%,0.00%,0.00%
Romania,Eastern Europe and Central Asia,2020,47,141,588000,4.44%,0.00%,0.00%
Russia,Eastern Europe and Central Asia,2020,354,611,4275000,0.00%,0.00%,0.00%
Serbia,Eastern Europe and Central Asia,2020,31,77,211000,0.00%,0.00%,0.00%
Slovakia,Eastern Europe and Central Asia,2020,107,456,979000,0.00%,0.00%,0.00%
Ukraine,Eastern Europe and Central Asia,2020,54,141,1114000,0.00%,0.00%,0.00%
Uzbekistan,Eastern Europe and Central Asia,2020,3,11,57000,50.00%,37.50%,0.00%
Argentina,Americas,2020,22,145,1065000,0.00%,0.00%,0.00%
Canada,Americas,2020,280,922,4307000,0.00%,0.00%,0.00%
Chile,Americas,2020,21,127,517000,0.00%,0.00%,0.00%
United States,Americas,2020,481,2970,25017000,0.00%,0.00%,0.00%
Australia,Asian-Pacific,2020,12,158,1002000,0.00%,0.00%,0.00%
China,Asian-Pacific,2020,770,655,13050000,3.63%,1.71%,-1.14%
India,Asian-Pacific,2020,15,22,134000,0.00%,0.00%,0.00%
Japan,Asian-Pacific,2020,547,2422,11411000,0.00%,0.00%,0.00%
Nepal,Asian-Pacific,2020,1,1,3000,,,
New Zealand,Asian-Pacific,2020,23,107,306000,0.00%,0.00%,0.00%
South Korea,Asian-Pacific,2020,18,150,2937000,0.00%,0.00%,0.00%
Iran,Middle East & Africa,2020,22,72,812000,0.00%,0.00%,0.00%
Lebanon,Middle East & Africa,2020,6,46,207000,0.00%,0.00%,0.00%
Morocco,Middle East & Africa,2020,5,10,33000,0.00%,0.00%,0.00%
Turkey,Middle East & Africa,2020,60,159,807000,0.00%,0.00%,0.00%
